Numero de Hilos;Ticks;Resultado;
1;29.297;1.918,00;
2;9.765;1.918,00;
3;19.532;1.918,00;
4;19.531;1.918,00;
5;19.531;1.918,00;
6;19.531;1.918,00;
7;19.532;1.918,00;
8;19.532;1.918,00;
9;29.296;1.918,00;
10;29.297;1.918,00;
11;29.297;1.918,00;
12;29.297;1.918,00;
13;29.297;1.918,00;
14;39.063;1.918,00;
15;39.062;1.918,00;
16;29.297;1.918,00;
17;39.062;1.918,00;
18;39.063;1.918,00;
19;48.828;1.918,00;
20;39.062;1.918,00;
21;48.828;1.918,00;
22;48.828;1.918,00;
23;48.828;1.918,00;
24;48.828;1.918,00;
25;58.594;1.918,00;
26;68.359;1.918,00;
27;58.594;1.918,00;
28;58.594;1.918,00;
29;68.359;1.918,00;
30;68.359;1.918,00;
31;68.360;1.918,00;
32;68.359;1.918,00;
33;68.360;1.918,00;
34;68.359;1.918,00;
35;78.125;1.918,00;
36;68.359;1.918,00;
37;68.359;1.918,00;
38;78.125;1.918,00;
39;78.125;1.918,00;
40;87.891;1.918,00;
41;87.890;1.918,00;
42;87.891;1.918,00;
43;87.890;1.918,00;
44;87.891;1.918,00;
45;87.890;1.918,00;
46;87.891;1.918,00;
47;97.656;1.918,00;
48;97.657;1.918,00;
49;107.422;1.918,00;
50;97.656;1.918,00;
